level,group,lemma
a1,group-1,Haus
a1,group-1,Wohnung
a1,group-1,Zimmer
a1,group-1,Tisch
a1,group-1,Stuhl
a1,group-1,Bett
a1,group-1,Tür
a1,group-1,Fenster
a1,group-1,Küche
a1,group-1,Bad
a1,group-1,Familie
a1,group-1,Mutter
a1,group-1,Vater
a1,group-1,Kind
a1,group-1,Bruder
a1,group-1,Schwester
a1,group-1,Freund
a1,group-1,Name
a1,group-1,Stadt
a1,group-1,Land
a1,group-1,Schule
a1,group-1,Universität
a1,group-1,Arbeit
a1,group-1,Beruf
a1,group-1,Geld
a1,group-1,Zeit
a1,group-1,Tag
a1,group-1,Woche
a1,group-1,Monat
a1,group-1,Jahr
a1,group-1,Vormittag
a1,group-1,Abend
a1,group-1,Nacht
a1,group-1,Wasser
a1,group-1,Brot
a1,group-1,Kaffee
a1,group-1,Tee
a1,group-1,Apfel
a1,group-1,Auto
a1,group-1,Bus
a1,group-1,sein
a1,group-1,haben
a1,group-1,werden
a1,group-1,kommen
a1,group-1,gehen
a1,group-1,machen
a1,group-1,sagen
a1,group-1,fragen
a1,group-1,antworten
a1,group-1,lernen
a1,group-1,lesen
a1,group-1,schreiben
a1,group-1,hören
a1,group-1,sprechen
a1,group-1,essen
a1,group-1,trinken
a1,group-1,kaufen
a1,group-1,bezahlen
a1,group-1,wohnen
a1,group-1,arbeiten
a1,group-1,spielen
a1,group-1,suchen
a1,group-1,finden
a1,group-1,brauchen
a1,group-1,möchten
a1,group-1,können
a1,group-1,müssen
a1,group-1,wollen
a1,group-1,dürfen
a1,group-1,schlafen
a1,group-1,gut
a1,group-1,schlecht
a1,group-1,groß
a1,group-1,klein
a1,group-1,neu
a1,group-1,alt
a1,group-1,schön
a1,group-1,hässlich
a1,group-1,schnell
a1,group-1,langsam
a1,group-1,warm
a1,group-1,kalt
a1,group-1,richtig
a1,group-1,falsch
a1,group-1,einfach
a1,group-1,heute
a1,group-1,morgen
a1,group-1,gestern
a1,group-1,jetzt
a1,group-1,hier
a1,group-1,guten Morgen
a1,group-1,guten Abend
a1,group-1,auf Wiedersehen
a1,group-1,bis später
a1,group-1,vielen Dank
a1,group-1,bitte schön
a1,group-1,kein Problem
a1,group-1,ich heiße
a1,group-1,wie geht es
a1,group-1,entschuldigung bitte
a2,group-1,Bahnhof
a2,group-1,Flughafen
a2,group-1,Reise
a2,group-1,Fahrkarte
a2,group-1,Gepäck
a2,group-1,Koffer
a2,group-1,Pass
a2,group-1,Hotel
a2,group-1,Reservierung
a2,group-1,Schlüssel
a2,group-1,Straße
a2,group-1,Platz
a2,group-1,Laden
a2,group-1,Supermarkt
a2,group-1,Markt
a2,group-1,Kleidung
a2,group-1,Jacke
a2,group-1,Hose
a2,group-1,Schuh
a2,group-1,Größe
a2,group-1,Farbe
a2,group-1,Arzt
a2,group-1,Apotheke
a2,group-1,Krankheit
a2,group-1,Schmerz
a2,group-1,Termin
a2,group-1,Rechnung
a2,group-1,Formular
a2,group-1,Brief
a2,group-1,Nachricht
a2,group-1,Einladung
a2,group-1,Geburtstag
a2,group-1,Wetter
a2,group-1,Regen
a2,group-1,Schnee
a2,group-1,Sonne
a2,group-1,Fahrrad
a2,group-1,Zug
a2,group-1,U-Bahn
a2,group-1,Karte
a2,group-1,reisen
a2,group-1,buchen
a2,group-1,fahren
a2,group-1,fliegen
a2,group-1,ankommen
a2,group-1,abfahren
a2,group-1,umsteigen
a2,group-1,einsteigen
a2,group-1,aussteigen
a2,group-1,mitnehmen
a2,group-1,vergessen
a2,group-1,verlieren
a2,group-1,öffnen
a2,group-1,schließen
a2,group-1,tragen
a2,group-1,passen
a2,group-1,kosten
a2,group-1,wählen
a2,group-1,erklären
a2,group-1,zeigen
a2,group-1,helfen
a2,group-1,besuchen
a2,group-1,bleiben
a2,group-1,warten
a2,group-1,reservieren
a2,group-1,bestellen
a2,group-1,kochen
a2,group-1,putzen
a2,group-1,waschen
a2,group-1,reparieren
a2,group-1,billig
a2,group-1,teuer
a2,group-1,leicht
a2,group-1,schwer
a2,group-1,bequem
a2,group-1,unbequem
